from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
KL,MURD,19.0,16,1,1
KL,TBL,9.0,1,1,0
KLB,SNPR,6.0,2,0,1
KLWL,PJK,6.0,1,0,1
KLYT,PLCJ,112.0,4,1,1
KLYT,LGH,46.0,4,1,1
KMNC,NAC,16.0,26,1,1
KMNC,MKN,14.0,40,1,1
KNDP,PDZ,6.0,4,1,1
KNDP,SMVJ,7.0,4,1,0
KNL,RKK,9.0,2,0,1
KNNA,NHR,19.0,2,0,1
KNSR,LGH,12.0,1,1,1
KOTA,RTM,265.0,74,1,0
KOTA,SWM,108.0,125,1,1
KOTA,KPTN,13.0,12,1,1
KOTA,LKE,61.0,6,1,1
KOTA,NZM,457.0,20,1,0
KOTA,MTJ,324.0,8,1,0
KOTA,RMA,72.0,55,1,1
KOTA,KPZ,33.0,4,1,1
KOTA,SMVJ,206.0,4,1,0
KOTA,SGZ,133.0,6,1,1
KOTA,NAD,225.0,18,1,0
KOTA,NDLS,464.0,4,1,0
KOTA,THEA,24.0,2,1,1
KPTN,SWM,95.0,2,1,1
KPTN,KPZ,20.0,6,1,1
KPTN,LKE,48.0,4,1,1
KPZ,LKE,28.0,8,1,1
KPZ,LBN,19.0,2,1,1
KRH,RE,47.0,29,1,0
KRH,PSL,13.0,2,1,1
KRW,MLI,11.0,1,1,1
KSG,NRI,44.0,12,1,1
KSG,RNW,89.0,2,1,1
KSG,MDJN,19.0,2,1,1
KSW,PPR,6.0,2,1,1
KUN,PNP,34.0,41,0,1
KUT,KWP,6.0,2,1,1
KXG,UMED,11.0,4,1,1
LAU,SUJH,10.0,18,1,1
LBN,LKE,8.0,2,1,1
LGH,LKS,75.0,18,1,1
LGH,NAL,12.0,1,1,1
LGH,SOG,177.0,2,1,1
LGH,MHJ,115.0,2,1,1
LHU,SDLP,50.0,26,0,1
LHU,SRGH,17.0,8,0,1
LHU,RMB,21.0,6,0,1
LKE,SWM,47.0,4,1,1
LKE,SGAC,61.0,2,1,1
LKS,SOG,102.0,6,1,1
LKS,MHJ,40.0,12,1,1
LKS,NTZ,10.0,1,1,1
LNH,SIKR,27.0,10,1,1
LR,MDJN,7.0,1,1,1
LRU,NNW,10.0,2,1,1
LUNI,PMY,41.0,26,1,1
LUNI,SMR,49.0,8,1,1
MAAR,PLCJ,13.0,1,1,1
MAYR,STD,4.0,3,1,0
MBNL,MON,28.0,24,1,1
MBNL,RNV,32.0,22,1,1
MBT,PLCJ,11.0,1,1,1
MBT,MKHR,15.0,1,1,1
MBY,SGRA,30.0,12,0,1
MDB,MMC,5.0,1,1,1
MDB,MMY,24.0,1,1,1
MDW,NGO,18.0,8,1,1
MDW,MTD,39.0,6,1,1
MHJ,SOG,63.0,8,1,1
MHJ,MLC,18.0,1,1,1
MHRG,NDRT,14.0,2,0,1
MJ,PMY,31.0,46,1,1
MJ,RANI,52.0,28,1,1
MJ,SOD,21.0,16,1,1
MJ,SEU,74.0,3,1,1
MJ,SOS,28.0,6,1,1
MKH,RHG,17.0,4,1,1
MKH,MWW,8.0,2,1,1
MKHR,RDRA,21.0,1,1,1
MKN,NAC,30.0,4,1,1
MKSR,SMR,26.0,24,1,1
MKX,RMA,10.0,4,1,1
MLC,NTZ,11.0,1,1,1
MLGH,PSLI,22.0,4,1,1
MLGH,SMPA,21.0,4,1,1
MLI,SDH,10.0,1,1,1
MLZ,SWM,31.0,4,1,1
MLZ,NNW,16.0,2,1,1
MLZ,NMD,7.0,4,1,1
MLZ,MXL,11.0,2,1,1
MMC,RKB,2.0,1,1,1
MMY,TIW,10.0,3,1,1
MMY,RKB,31.0,2,1,1
MMY,OSN,31.0,2,1,1
MNSR,SGRA,15.0,3,1,1
MNSR,NAWN,5.0,1,1,1
MOPR,SGNR,6.0,1,1,1
MTD,REN,17.0,22,1,1
MTD,NGO,57.0,34,1,1
MTD,RKB,101.0,4,1,1
MTD,PPR,57.0,4,1,1
MTJ,SWM,216.0,6,0,1
MVJ,RPZ,38.0,33,1,1
MVJ,NDT,15.0,2,1,1
MVJ,UDZ,42.0,4,1,1
MWT,OSN,44.0,6,1,1
MWT,PLCJ,28.0,6,1,1
MWT,STSN,14.0,1,1,1
MXL,RNT,9.0,2,1,1
NAC,SBR,28.0,14,1,1
NAD,SGZ,91.0,20,0,1
NAD,RMA,153.0,8,0,1
NANA,PDWA,17.0,4,1,0
NBH,NMH,27.0,12,1,0
NBH,SMP,18.0,2,1,1
NBI,TBL,8.0,1,1,0
NBI,PPEA,10.0,1,1,0
NDLS,PNP,89.0,23,0,1
NDRT,NWN,5.0,2,1,1
NGO,NOK,52.0,46,1,1
NHR,TSD,40.0,4,1,1
NIP,NNL,15.0,1,1,0
NKRA,SIRD,20.0,1,1,1
NMD,NNW,10.0,4,1,1
NMK,SMPR,37.0,8,1,1
NMK,NNL,50.0,12,1,0
NMK,RGS,47.0,4,1,1
NNL,RGS,96.0,3,0,1
NNW,SWM,47.0,2,1,1
NPS,SDGH,46.0,4,1,1
NPS,SDF,23.0,8,1,1
NWH,SIKR,27.0,14,1,1
NWN,STNL,5.0,2,1,0
OCH,SBLT,22.0,1,1,1
OSN,RKB,62.0,2,1,1
OSN,TIW,21.0,3,1,1
